country,language,product_category,intent_type,keyword,hashtag,priority,notes
MX,es,sunscreen,discovery,"protector solar coreano","#protectorsolar",1,"Core sunscreen discovery"
MX,es,sunscreen,concern,"bloqueador para piel grasa","#pielgrasa",1,"Oily skin SPF angle"
MX,es,sunscreen,format,"resena protector solar","#resenaskincare",1,"Review content"
MX,es,sunscreen,commerce,"donde comprar protector solar coreano","#kbeautymexico",1,"Where-to-buy intent"
MX,es,sunscreen,concern,"spf para piel sensible","#pielsensible",2,"Sensitive skin SPF"
MX,es,calming_serum,discovery,"serum calmante coreano","#serumcoreano",1,"Calming serum discovery"
MX,es,calming_serum,concern,"rutina para piel sensible","#pielsensible",1,"Sensitive routine"
MX,es,calming_serum,concern,"barrera de la piel","#barreracutanea",1,"Barrier care"
MX,es,calming_serum,format,"resena serum coreano","#resenaskincare",1,"Review content"
MX,es,calming_serum,concern,"rojeces en la piel","#rojeces",2,"Redness concern"
MX,es,sheet_mask,discovery,"mascarilla coreana","#mascarillacoreana",1,"Sheet mask discovery"
MX,es,sheet_mask,format,"unboxing mascarillas coreanas","#unboxing",1,"Unboxing"
MX,es,sheet_mask,concern,"mascarilla hidratante","#hidratacion",1,"Hydration angle"
MX,es,sheet_mask,format,"rutina de noche skincare","#rutinadenoche",2,"Night routine"
MX,es,sheet_mask,commerce,"kbeauty economico mexico","#kbeautymexico",2,"Affordable K-beauty"
MX,es,cushion_foundation,discovery,"cushion coreano","#cushioncoreano",1,"Cushion discovery"
MX,es,cushion_foundation,format,"maquillaje coreano tutorial","#maquillajecoreano",1,"Tutorial content"
MX,es,cushion_foundation,format,"base ligera para diario","#baseligera",1,"Daily base"
MX,es,cushion_foundation,concern,"base para piel grasa","#pielgrasa",2,"Oily skin makeup"
MX,es,cushion_foundation,format,"glass skin maquillaje","#glassskin",2,"K-beauty look"
MX,es,cleanser,discovery,"limpiador facial coreano","#limpiadorfacial",1,"Cleanser discovery"
MX,es,cleanser,format,"doble limpieza coreana","#doblelimpieza",1,"Double cleansing"
MX,es,cleanser,format,"aceite limpiador resena","#aceitelimpiador",1,"Oil cleanser review"
MX,es,cleanser,concern,"limpiador para piel acneica","#pielacneica",2,"Acne-prone without medical claims"
MX,es,cleanser,format,"quitar maquillaje rutina","#rutinafacial",2,"Makeup removal"
PE,es,sunscreen,discovery,"protector solar coreano peru","#protectorsolarperu",1,"Peru SPF discovery"
PE,es,sunscreen,concern,"bloqueador para piel mixta","#pielmixta",1,"Combination skin SPF"
PE,es,sunscreen,format,"rutina de dia con spf","#rutinadedia",1,"Daily routine"
PE,es,sunscreen,commerce,"donde comprar skincare coreano en peru","#kbeautyperu",1,"Where-to-buy intent"
PE,es,sunscreen,concern,"protector solar sin sensacion grasosa","#pielgrasa",2,"Texture angle"
PE,es,calming_serum,discovery,"serum coreano para piel sensible","#serumcoreano",1,"Calming serum discovery"
PE,es,calming_serum,concern,"piel sensible rutina facial","#pielsensible",1,"Sensitive routine"
PE,es,calming_serum,concern,"cuidar barrera de la piel","#barreracutanea",1,"Barrier care"
PE,es,calming_serum,format,"resena serum calmante","#resenaskincare",1,"Review content"
PE,es,calming_serum,concern,"piel irritada rutina","#rutinafacial",2,"Irritated skin routine"
PE,es,sheet_mask,discovery,"mascarilla facial coreana","#mascarillafacial",1,"Sheet mask discovery"
PE,es,sheet_mask,format,"probando mascarilla coreana","#probando",1,"Try-on content"
PE,es,sheet_mask,concern,"mascarilla para hidratar la piel","#hidratacion",1,"Hydration angle"
PE,es,sheet_mask,format,"selfcare skincare peru","#selfcare",2,"Self-care routine"
PE,es,sheet_mask,commerce,"kbeauty peru economico","#kbeautyperu",2,"Affordable K-beauty"
PE,es,cushion_foundation,discovery,"maquillaje coreano peru","#maquillajecoreano",1,"Makeup discovery"
PE,es,cushion_foundation,format,"cushion coreano resena","#cushioncoreano",1,"Cushion review"
PE,es,cushion_foundation,format,"base ligera coreana","#baseligera",1,"Light base"
PE,es,cushion_foundation,format,"maquillaje natural coreano","#maquillajenatural",2,"Natural look"
PE,es,cushion_foundation,concern,"base para clima caliente","#maquillaje",2,"Wear test"
PE,es,cleanser,discovery,"limpiador coreano peru","#limpiadorfacial",1,"Cleanser discovery"
PE,es,cleanser,format,"doble limpieza rutina","#doblelimpieza",1,"Double cleansing"
PE,es,cleanser,format,"aceite limpiador coreano","#aceitelimpiador",1,"Oil cleanser"
PE,es,cleanser,concern,"limpiador para piel sensible","#pielsensible",2,"Sensitive cleanser"
PE,es,cleanser,format,"rutina facial noche","#rutinadenoche",2,"Night routine"
EC,es,sunscreen,discovery,"protector solar coreano ecuador","#protectorsolarecuador",1,"Ecuador SPF discovery"
EC,es,sunscreen,concern,"bloqueador para piel grasa","#pielgrasa",1,"Oily skin SPF"
EC,es,sunscreen,format,"resena bloqueador coreano","#resenaskincare",1,"Review content"
EC,es,sunscreen,commerce,"donde comprar kbeauty ecuador","#kbeautyecuador",1,"Where-to-buy intent"
EC,es,sunscreen,concern,"protector solar diario","#rutinafacial",2,"Daily SPF"
EC,es,calming_serum,discovery,"serum calmante coreano","#serumcoreano",1,"Calming serum"
EC,es,calming_serum,concern,"rutina piel sensible ecuador","#pielsensible",1,"Sensitive routine"
EC,es,calming_serum,concern,"barrera de la piel rutina","#barreracutanea",1,"Barrier care"
EC,es,calming_serum,format,"probando serum coreano","#probando",1,"Try-on review"
EC,es,calming_serum,concern,"piel con rojeces rutina","#rojeces",2,"Redness concern"
EC,es,sheet_mask,discovery,"mascarilla coreana ecuador","#mascarillacoreana",1,"Sheet mask discovery"
EC,es,sheet_mask,format,"unboxing kbeauty ecuador","#unboxing",1,"UGC unboxing"
EC,es,sheet_mask,concern,"mascarilla hidratante coreana","#hidratacion",1,"Hydration angle"
EC,es,sheet_mask,format,"rutina de noche mascarilla","#rutinadenoche",2,"Night routine"
EC,es,sheet_mask,commerce,"kbeauty barato ecuador","#kbeautyecuador",2,"Affordable K-beauty"
EC,es,cushion_foundation,discovery,"cushion coreano ecuador","#cushioncoreano",1,"Cushion discovery"
EC,es,cushion_foundation,format,"maquillaje coreano natural","#maquillajenatural",1,"Natural makeup"
EC,es,cushion_foundation,format,"base ligera resena","#baseligera",1,"Light base review"
EC,es,cushion_foundation,format,"glass skin maquillaje","#glassskin",2,"K-beauty look"
EC,es,cushion_foundation,concern,"maquillaje para piel mixta","#pielmixta",2,"Combination skin makeup"
EC,es,cleanser,discovery,"limpiador facial coreano ecuador","#limpiadorfacial",1,"Cleanser discovery"
EC,es,cleanser,format,"doble limpieza coreana","#doblelimpieza",1,"Double cleansing"
EC,es,cleanser,format,"aceite limpiador resena","#aceitelimpiador",1,"Oil cleanser review"
EC,es,cleanser,concern,"limpiador para piel sensible","#pielsensible",2,"Sensitive cleanser"
EC,es,cleanser,format,"quitar maquillaje skincare","#rutinafacial",2,"Makeup removal"
